Network,SchoolId,UnitName
Options,610565,Camelot Excel - Englewood HS
Options,400175,Camelot Excel - Southshore HS
Options,400176,Camelot Excel - Southwest HS
Options,610572,Camelot Safe Elementary
Options,610573,Camelot Safe HS
Options,400164,Instituto - Justice Lozano
Options,400137,Little Black Pearl Art and Design Academy
Options,610569,Ombudsman Chicago- Northwest
Options,610570,Ombudsman Chicago- South
Options,610571,Ombudsman Chicago- West
Options,610557,Pathways in Education- Ashburn
Options,610568,Pathways in Education- Avondale
Options,400173,Pathways in Education- Brighton Park
Options,400123,YCCS- Academy of Scholastic Achievement HS
Options,400133,YCCS- Innovations HS of Arts Integration
Options,400124,YCCS- McKinley Lakeside Leadership HS
Options,400125,"YCCS-ASPIRA,Antonia Pantoja Alternative HS"
Options,400126,YCCS-Association House HS
Options,400127,YCCS-Austin Career Education Center HS
Options,400128,YCCS-CCA Academy HS
Options,400150,YCCS-Chatham AcademyHS
Options,400130,YCCS-Community Youth Development Institute HS
Options,400131,YCCS-Dr. Pedro Albizu Campos Puerto Rican HS
Options,400134,YCCS-Jane Addams Alternative HS
Options,400135,YCCS-Latino Youth Alternative HS
Options,400136,YCCS-Olive Harvey Middle College HS
Options,400129,YCCS-Progressive Leadership Academy
Options,400139,YCCS-Sullivan House Alternative HS
Options,400141,YCCS-Truman Middle College HS
Options,400143,YCCS-West Town Acad Alternative HS
Options,400144,YCCS-Westside Holistic Leadership Acad HS
Options,400145,YCCS-Youth Connection Leadership Acad HS
,,
,,
,,
,,
,,
,,
,,
